date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:49:02	77268/77268	---M--	200	added ('OK')	image/jpeg	etag:%226229c5a0-12dd4%22	https://templates.hibootstrap.com/naon/default/assets/images/team/team-img5.jpg	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/team/team-img5.jpg	(from https://templates.hibootstrap.com/naon/default/team.html)
22:49:03	96748/96748	---M--	200	added ('OK')	image/jpeg	etag:%226229c5a0-189a7%22	https://templates.hibootstrap.com/naon/default/assets/images/team/team-img6.jpg	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/team/team-img6.jpg	(from https://templates.hibootstrap.com/naon/default/team.html)
22:49:03	15773/15773	---M--	200	added ('OK')	image/png	etag:%226229c592-3d9d%22	https://templates.hibootstrap.com/naon/default/assets/images/inner-banner/inner-banner12.png	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/inner-banner/inner-banner12.png	(from https://templates.hibootstrap.com/naon/default/team-details.html)
22:49:03	43528/43528	---M--	200	added ('OK')	image/jpeg	etag:%226229c59f-aa08%22	https://templates.hibootstrap.com/naon/default/assets/images/team/team-details.jpg	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/team/team-details.jpg	(from https://templates.hibootstrap.com/naon/default/team-details.html)
22:49:04	42548/42548	---M--	200	added ('OK')	image/png	etag:%226229c592-a634%22	https://templates.hibootstrap.com/naon/default/assets/images/inner-banner/inner-banner2.png	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/inner-banner/inner-banner2.png	(from https://templates.hibootstrap.com/naon/default/pricing-2.html)
22:49:04	24888/24888	---M--	200	added ('OK')	image/png	etag:%226229c593-6138%22	https://templates.hibootstrap.com/naon/default/assets/images/inner-banner/inner-banner6.png	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/inner-banner/inner-banner6.png	(from https://templates.hibootstrap.com/naon/default/login.html)
22:49:04	48552/48552	---M--	200	added ('OK')	image/png	etag:%226229c593-bda8%22	https://templates.hibootstrap.com/naon/default/assets/images/inner-banner/inner-banner7.png	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/inner-banner/inner-banner7.png	(from https://templates.hibootstrap.com/naon/default/register.html)
22:49:05	32693/32693	---M--	200	added ('OK')	image/png	etag:%226229c593-7fb5%22	https://templates.hibootstrap.com/naon/default/assets/images/inner-banner/inner-banner8.png	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/inner-banner/inner-banner8.png	(from https://templates.hibootstrap.com/naon/default/forgot-password.html)
22:49:05	30538/30538	---M--	200	added ('OK')	image/png	etag:%226229c593-774a%22	https://templates.hibootstrap.com/naon/default/assets/images/inner-banner/inner-banner9.png	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/inner-banner/inner-banner9.png	(from https://templates.hibootstrap.com/naon/default/terms-condition.html)
22:49:05	41620/41620	---M--	200	added ('OK')	image/png	etag:%226229c591-a294%22	https://templates.hibootstrap.com/naon/default/assets/images/inner-banner/inner-banner10.png	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/inner-banner/inner-banner10.png	(from https://templates.hibootstrap.com/naon/default/privacy-policy.html)
